hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
0,07
700,08
2200,09
4000,10
2900,11
3100,12
2300,13
1200,14
800,15
100,16
0,17
0,18
0,19
0,20
0,21
0,22
