hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
100,06
8500,07
15700,08
26300,09
41500,10
30200,11
30500,12
28600,13
11000,14
8500,15
2900,16
100,17
0,18
0,19
0,20
0,21
0,22
