hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
3200,06
10600,07
19700,08
21300,09
34300,10
35200,11
36900,12
38900,13
40000,14
15700,15
8400,16
6900,17
2800,18
100,19
0,20
0,21
0,22
