hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
6500,07
23800,08
48000,09
63000,10
72400,11
66400,12
68300,13
58000,14
37500,15
12500,16
800,17
0,18
0,19
0,20
0,21
0,22
