hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
900,07
4900,08
9800,09
13500,10
25300,11
29700,12
41500,13
24900,14
8400,15
17300,16
14100,17
2200,18
500,19
0,20
0,21
0,22
