hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
400,06
9100,07
29600,08
51700,09
57000,10
66400,11
77600,12
67800,13
58500,14
38200,15
20500,16
1800,17
0,18
0,19
0,20
0,21
0,22
