hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
3600,07
25100,08
52300,09
69500,10
72000,11
82400,12
80700,13
73200,14
53800,15
37900,16
6800,17
100,18
0,19
0,20
0,21
0,22
