hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
400,07
10800,08
17000,09
36700,10
62200,11
76200,12
26200,13
9300,14
9800,15
4000,16
700,17
0,18
0,19
0,20
0,21
0,22
