hrPow,logHr
0,00
0,01
0,02
0,03
0,04
600,05
6200,06
23400,07
34100,08
43800,09
59800,10
76200,11
77400,12
69700,13
69000,14
60300,15
41400,16
15700,17
6400,18
400,19
0,20
0,21
0,22
