hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
5500,07
32300,08
53100,09
67400,10
79400,11
79200,12
71900,13
70700,14
59500,15
38200,16
10600,17
800,18
0,19
0,20
0,21
0,22
