hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
0,07
0,08
4800,09
2900,10
14200,11
6600,12
1400,13
5900,14
2900,15
2100,16
400,17
0,18
0,19
0,20
0,21
0,22
