hrPow,logHr
0,00
0,01
0,02
0,03
0,04
1400,05
7300,06
19900,07
26500,08
41500,09
52900,10
37800,11
47900,12
50500,13
31400,14
44300,15
34500,16
18000,17
7300,18
1500,19
0,20
0,21
0,22
