hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
200,07
3100,08
10400,09
26000,10
41600,11
20100,12
19100,13
11000,14
11600,15
3100,16
200,17
0,18
0,19
0,20
0,21
0,22
