hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
100,07
11600,08
45000,09
55800,10
69600,11
71200,12
67500,13
41700,14
39600,15
8900,16
300,17
0,18
0,19
0,20
0,21
0,22
