hrPow,logHr
0,00
0,01
0,02
0,03
0,04
400,05
5300,06
21900,07
42600,08
51600,09
51900,10
58900,11
61200,12
56700,13
52900,14
46900,15
24400,16
21700,17
8600,18
1000,19
0,20
0,21
0,22
