hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
4200,06
11100,07
29600,08
40300,09
50900,10
28700,11
50700,12
27300,13
32500,14
37200,15
22900,16
17800,17
4000,18
200,19
0,20
0,21
0,22
