hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
500,06
10000,07
32300,08
48100,09
51300,10
69800,11
45400,12
34500,13
48500,14
30300,15
7300,16
3000,17
100,18
0,19
0,20
0,21
0,22
