hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
800,07
21200,08
49300,09
58800,10
67000,11
76700,12
61900,13
48200,14
30300,15
11700,16
2300,17
0,18
0,19
0,20
0,21
0,22
