hrPow,logHr
0,00
0,01
0,02
0,03
0,04
700,05
4300,06
19100,07
42900,08
59800,09
65900,10
79500,11
80500,12
43100,13
30300,14
35000,15
25300,16
12900,17
4000,18
400,19
0,20
0,21
0,22
