hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
0,07
100,08
0,09
200,10
0,11
500,12
2500,13
2100,14
300,15
100,16
0,17
0,18
0,19
0,20
0,21
0,22
