hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
400,07
8500,08
37300,09
51600,10
54800,11
55800,12
38800,13
19500,14
4400,15
5400,16
300,17
0,18
0,19
0,20
0,21
0,22
