hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1800,06
11800,07
25400,08
51200,09
54600,10
42600,11
46700,12
62800,13
39400,14
30300,15
32400,16
11300,17
3500,18
300,19
0,20
0,21
0,22
