hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
3100,06
10400,07
23800,08
30300,09
67400,10
36400,11
34800,12
56300,13
31600,14
25100,15
14500,16
7700,17
1300,18
0,20
0,21
0,22
