hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
800,06
16600,07
51000,08
95800,09
124800,10
142200,11
136200,12
145000,13
128800,14
92000,15
62200,16
23000,17
2000,18
0,19
0,20
0,21
0,22
