hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
1100,07
1500,08
5800,09
8500,10
11300,11
9600,12
5700,13
5700,14
3500,15
1900,16
1400,17
100,18
0,19
0,20
0,21
0,22
