hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
400,07
8200,08
32300,09
35400,10
54100,11
58800,12
45700,13
42300,14
29200,15
4700,16
100,17
0,18
0,19
0,20
0,21
0,22
