hrPow,logHr
0,00
0,01
0,02
0,03
0,04
800,05
6400,06
22100,07
34400,08
61000,09
67300,10
66100,11
74500,12
74000,13
68200,14
53500,15
44600,16
24900,17
6800,18
900,19
0,20
0,21
0,22
