hour,azimuth,Altitude,Right ascension,Declination
0,349 14 20.99,-48 30 00.0,165 54 52.20,06 01 14.4
1,011 48 56.97,-48 24 05.0,165 57 09.10,06 00 18.3
2,032 20 17.26,-43 45 26.0,165 59 25.92,05 59 22.2
3,048 46 25.36,-35 44 38.5,166 01 42.54,05 58 26.1
4,061 35 29.98,-25 38 49.9,166 03 58.86,05 57 30.0
5,071 59 49.18,-14 21 16.0,166 06 14.78,05 56 33.9
6,081 03 23.77,-2 24 36.7,166 08 30.23,05 55 37.9
7,089 37 40.82,09 49 47.8,166 10 45.19,05 54 41.8
8,098 30 55.34,22 04 47.0,166 12 59.66,05 53 45.7
9,108 41 59.04,34 01 06.8,166 15 13.67,05 52 49.6
10,121 40 50.57,45 08 41.0,166 17 27.29,05 51 53.4
11,139 52 13.85,54 29 12.2,166 19 40.61,05 50 57.3
12,165 40 40.50,60 10 32.0,166 21 53.73,05 50 01.0
13,195 51 59.76,59 59 25.0,166 24 06.80,05 49 04.8
14,221 13 48.20,54 01 18.0,166 26 19.92,05 48 08.5
15,239 02 06.15,44 31 53.6,166 28 33.23,05 47 12.1
16,251 47 27.85,33 19 52.0,166 30 46.84,05 46 15.7
17,261 51 17.01,21 21 08.6,166 33 00.84,05 45 19.3
18,270 40 59.74,09 04 47.1,166 35 15.28,05 44 22.9
19,279 14 19.65,-3 10 22.5,166 37 30.21,05 43 26.4
20,288 19 21.44,-15 07 14.0,166 39 45.62,05 42 29.9
21,298 48 10.62,-26 24 13.5,166 42 01.47,05 41 33.5
22,311 46 15.13,-36 27 59.9,166 44 17.71,05 40 37.1
23,328 27 18.36,-44 23 52.8,166 46 34.23,05 39 40.6
