hour,azimuth,Altitude,Right ascension,Declination
0,348 54 37.40,-44 24 57.7,155 56 44.89,10 01 06.6
1,009 40 37.57,-44 35 01.3,155 59 03.82,10 00 13.9
2,029 00 06.63,-40 29 47.7,156 01 22.68,09 59 21.4
3,045 00 20.06,-33 04 47.2,156 03 41.34,09 58 28.8
4,057 46 48.85,-23 28 02.9,156 05 59.70,09 57 36.3
5,068 13 59.44,-12 31 02.3,156 08 17.66,09 56 43.8
6,077 17 39.22,00 47 07.0,156 10 35.15,09 55 51.4
7,085 45 40.52,11 21 43.9,156 12 52.14,09 54 58.9
8,094 24 10.23,23 38 35.0,156 15 08.63,09 54 06.4
9,104 10 33.80,35 45 51.9,156 17 24.66,09 53 13.8
10,116 37 23.25,47 17 07.5,156 19 40.28,09 52 21.2
11,134 33 46.63,57 18 49.6,156 21 55.58,09 51 28.6
12,161 53 30.36,63 52 35.3,156 24 10.69,09 50 35.8
13,195 59 54.63,64 05 39.2,156 26 25.72,09 49 43.0
14,223 57 06.17,57 50 03.6,156 28 40.80,09 48 50.1
15,242 20 55.67,47 56 23.6,156 30 56.06,09 47 57.2
16,255 01 26.69,36 28 08.1,156 33 11.61,09 47 04.2
17,264 53 45.16,24 21 26.4,156 35 27.53,09 46 11.1
18,273 33 39.05,12 03 40.2,156 37 43.90,09 45 18.0
19,281 59 49.91,00 07 26.2,156 40 00.75,09 44 24.9
20,290 58 39.99,-11 55 12.3,156 42 18.08,09 43 31.7
21,301 17 49.50,-22 58 17.1,156 44 35.85,09 42 38.6
22,313 53 12.51,-32 44 22.1,156 46 54.01,09 41 45.5
23,329 41 37.87,-40 23 10.2,156 49 12.46,09 40 52.4
