hour,azimuth,Altitude,Right ascension,Declination
0,349 39 24.82,-52 00 15.0,173 59 27.72,02 35 48.1
1,014 00 23.04,-51 37 20.7,174 01 44.00,02 34 50.3
2,035 33 47.46,-46 26 11.7,174 04 00.21,02 33 52.5
3,052 15 14.23,-37 53 21.0,174 06 16.22,02 32 54.7
4,065 00 17.80,-27 23 25.0,174 08 31.92,02 31 56.9
5,075 18 04.22,-15 50 05.7,174 10 47.23,02 30 59.1
6,084 18 52.58,-3 44 50.8,174 13 02.09,02 30 01.3
7,092 56 20.68,08 31 45.5,174 15 16.45,02 29 03.5
8,101 59 39.92,20 42 22.2,174 17 30.33,02 28 05.7
9,112 27 35.50,32 26 23.8,174 19 43.77,02 27 07.9
10,125 45 24.94,43 11 05.6,174 21 56.82,02 26 10.0
11,143 55 06.91,51 56 00.0,174 24 09.58,02 25 12.2
12,168 23 16.10,56 57 02.2,174 26 22.16,02 24 14.3
13,195 52 18.10,56 28 10.1,174 28 34.68,02 23 16.4
14,219 20 42.75,50 41 36.6,174 30 47.28,02 22 18.5
15,236 33 03.73,41 30 49.1,174 33 00.08,02 21 20.6
16,249 14 56.01,30 32 47.4,174 35 13.18,02 20 22.6
17,259 23 13.27,18 42 00.0,174 37 26.68,02 19 24.7
18,268 17 33.90,06 28 17.2,174 39 40.64,02 18 26.7
19,276 53 59.60,-5 48 53.2,174 41 55.09,02 17 28.7
20,286 01 27.06,-17 52 14.2,174 44 10.02,02 16 30.8
21,296 35 35.56,-29 20 15.3,174 46 25.40,02 15 32.8
22,309 50 54.71,-39 39 00.9,174 48 41.16,02 14 34.8
23,327 19 22.08,-47 50 05.9,174 50 57.21,02 13 36.9
