hour,azimuth,Altitude,Right ascension,Declination
0,349 05 36.41,-46 58 59.8,162 18 22.28,07 30 13.8
1,0010 58 09.07,-46 59 31.1,162 20 39.79,07 29 18.7
2,031 02 42.44,-42 33 52.1,162 22 57.23,07 28 23.7
3,047 20 09.92,-34 46 37.0,162 25 14.47,07 27 28.7
4,060 09 11.33,-24 51 31.8,162 27 31.41,07 26 33.7
5,070 35 11.38,-13 41 21.3,162 29 47.95,07 25 38.7
6,079 39 12.66,-1 49 06.2,162 32 04.03,07 24 43.8
7,088 11 29.83,10 23 36.7,162 34 19.61,07 23 48.8
8,096 59 38.03,22 39 42.2,162 36 34.70,07 22 53.8
9,107 02 08.75,34 40 32.8,162 38 49.33,07 21 58.8
10,119 50 21.33,45 57 20.1,162 41 03.56,07 21 03.7
11,137 58 28.30,55 33 16.3,162 43 17.48,07 20 08.6
12,164 21 19.22,61 33 24.6,162 45 31.21,07 19 13.4
13,195 53 12.73,61 30 52.1,162 47 44.87,07 18 18.2
14,222 09 35.21,55 26 55.0,162 49 58.59,07 17 23.0
15,240 12 14.01,45 48 52.7,162 52 12.48,07 16 27.6
16,252 57 07.17,34 30 48.9,162 54 26.67,07 15 32.3
17,262 57 32.54,22 28 57.6,162 56 41.25,07 14 36.9
18,271 44 11.78,10 11 51.5,162 58 56.27,07 13 41.4
19,280 15 19.16,-2 02 01.3,163 01 11.77,07 12 46.0
20,289 18 26.90,-13 55 42.5,163 03 27.75,07 11 50.5
21,299 44 03.79,-25 07 41.1,163 05 44.18,07 10 55.1
22,312 33 57.53,-35 04 57.1,163 08 01.00,07 09 59.7
23,328 55 06.05,-42 54 28.4,163 10 18.10,07 09 04.3
