hour,azimuth,Altitude,Right ascension,Declination
0, 348 49 03.00, -41 39 23.2, 148 35 01.00, 12 43 51.0
1, 008 29 10.52, -41 57 42.3, 148 37 22.03, 12 43 02.0
2, 027 00 43.75, -38 12 06.7, 148 39 43.00, 12 42 13.1
3, 042 39 12.70, -31 09 49.6, 148 42 03.77, 12 41 24.2
4, 055 19 34.58, -21 52 50.5, 148 44 24.23, 12 40 35.4
5, 065 45 35.12, -11 10 44.8, 148 46 44.28, 12 39 46.5
6, 074 47 12.10, 00 23 05.3, 148 49 03.87, 12 38 57.7
7, 083 09 20.15, 12 26 25.0, 148 51 22.95, 12 38 08.9
8, 091 36 03.42, 24 42 31.0, 148 53 41.53, 12 37 20.1
9, 101 02 51.49, 36 54 57.0, 148 55 59.63, 12 36 31.1
10, 113 01 56.99, 48 39 56.8, 148 58 17.32, 12 35 42.2
11, 130 36 03.90, 59 08 28.6, 149 00 34.69, 12 34 53.1
12, 158 53 19.96, 66 20 46.7, 149 02 51.84, 12 34 04.0
13, 196 18 21.26, 66 51 57.7, 149 05 08.91, 12 33 14.8
14, 226 16 40.57, 60 20 24.7, 149 07 26.03, 12 32 25.4
15, 244 56 15.78, 50 08 17.8, 149 09 43.31, 12 31 36.0
16, 257 25 50.17, 38 29 11.7, 149 12 00.88, 12 30 46.5
17, 267 05 37.78, 26 18 02.8, 149 14 18.83, 12 29 57.0
18, 275 35 53.03, 14 00 28.9, 149 16 37.22, 12 29 07.4
19, 283 55 02.90, 01 53 17.4, 149 18 56.10, 12 28 17.7
20, 292 47 50.84, -9 47 15.5, 149 21 15.45, 12 27 28.1
21, 302 58 49.03, -20 40 05.1, 149 23 35.26, 12 26 38.4
22, 315 17 56.06, -30 13 44.2, 149 25 55.45, 12 25 48.8
23, 330 32 36.35, -37 40 48.1, 149 28 15.94, 12 24 59.2
