hour,azimuth,Altitude,Right ascension,Declination
0,349 00 12.65,-45 52 04.8,159 35 18.10,08 35 43.6
1,0010 23 10.22,-45 56 57.6,159 37 36.16,08 34 49.5
2,030 08 05.87,-41 40 25.7,159 39 54.15,08 33 55.5
3,046 18 26.77,-34 02 57.3,159 42 11.94,08 33 01.5
4,059 06 44.44,-24 15 49.1,159 44 29.43,08 32 07.5
5,069 33 30.81,-13 11 16.1,159 46 46.51,08 31 13.5
6,078 37 33.28,-1 22 30.2,159 49 03.13,08 30 19.5
7,087 08 07.61,10 48 41.1,159 51 19.26,08 29 25.5
8,095 52 13.74,23 05 16.7,159 53 34.89,08 28 31.5
9,105 47 59.43,35 09 06.6,159 55 50.05,08 27 37.4
10,118 27 25.81,46 32 22.2,159 58 04.82,08 26 43.4
11,136 31 26.93,56 19 33.9,160 00 19.27,08 25 49.2
12,163 19 16.74,62 34 02.3,160 02 33.53,08 24 55.0
13,195 55 14.33,62 38 06.9,160 04 47.71,08 24 00.7
14,222 54 03.49,56 29 24.8,160 07 01.95,08 23 06.4
15,241 06 28.74,46 44 45.3,160 09 16.37,08 22 12.0
16,253 50 03.97,35 22 15.3,160 11 31.07,08 21 17.6
17,263 47 20.89,23 18 13.5,160 13 46.16,08 20 23.1
18,272 31 19.09,11 00 44.3,160 16 01.70,08 19 28.6
19,281 00 28.85,-1 12 02.0,160 18 17.71,08 18 34.1
20,290 01 54.39,-13 03 14.3,160 20 34.21,08 17 39.5
21,300 24 52.00,-24 11 25.1,160 22 51.15,08 16 45.0
22,313 08 32.89,-34 03 51.5,160 25 08.48,08 15 50.5
23,329 15 19.26,-41 48 43.7,160 27 26.10,08 14 56.0
