hour,azimuth,Altitude,Right ascension,Declination
0,348 50 53.38,-43 00 36.2,152 16 43.08,11 23 56.0
1,009 02 39.43,-43 15 08.5,152 19 02.99,11 23 05.1
2,027 57 38.96,-39 20 13.8,152 21 22.83,11 22 14.2
3,043 47 11.50,-32 06 58.3,152 23 42.48,11 21 23.4
4,056 30 59.51,-22 40 18.8,152 26 01.82,11 20 32.6
5,066 57 53.84,-11 50 49.1,152 28 20.76,11 19 41.9
6,076 00 44.54,00 11 53.8,152 30 39.23,11 18 51.1
7,084 25 56.38,11 54 18.8,152 32 57.20,11 18 00.4
8,092 58 37.25,24 10 59.1,152 35 14.67,11 17 09.6
9,102 35 19.32,36 21 07.6,152 37 31.67,11 16 18.7
10,114 48 37.89,47 59 38.2,152 39 48.25,11 15 27.8
11,132 34 59.76,58 15 09.2,152 42 04.52,11 14 36.9
12,160 24 39.04,65 08 15.3,152 44 20.59,11 13 45.8
13,196 07 22.86,65 30 24.0,152 46 36.57,11 12 54.7
14,225 04 36.09,59 07 12.7,152 48 52.60,11 12 03.5
15,243 37 36.88,49 04 22.6,152 51 08.80,11 11 12.2
16,256 13 28.33,37 30 34.2,152 53 25.28,11 10 20.9
17,265 59 56.04,25 21 29.9,152 55 42.15,11 09 29.4
18,274 35 14.44,13 03 42.3,152 57 59.46,11 08 38.0
19,282 58 04.14,00 54 27.9,153 00 17.25,11 07 46.5
20,291 54 00.34,-10 49 44.7,153 02 35.52,11 06 55.0
21,302 09 08.35,-21 47 42.1,153 04 54.25,11 06 03.5
22,314 36 18.17,-31 27 31.2,153 07 13.36,11 05 12.0
23,330 07 20.65,-39 00 23.6,153 09 32.77,11 04 20.6
