hour,azimuth,Altitude,Right ascension,Declination
0,350 27 29.09,-57 57 22.3,187 28 38.97,-3 13 48.5
1,018 27 49.98,-56 59 57.4,187 30 56.63,-3 14 46.7
2,041 45 58.50,-50 46 47.1,187 33 14.22,-3 15 44.9
3,058 36 14.69,-41 18 50.7,187 35 31.60,-3 16 43.1
4,071 01 20.95,-30 11 26.5,187 37 48.68,-3 17 41.3
5,081 00 07.14,-18 16 20.9,187 40 05.36,-3 18 39.5
6,089 51 02.46,-6 01 53.6,187 42 21.59,-3 19 37.8
7,098 29 19.63,06 12 57.6,187 44 37.34,-3 20 36.0
8,107 43 49.17,18 10 40.0,187 46 52.60,-3 21 34.2
9,118 30 23.59,29 28 41.7,187 49 07.43,-3 22 32.4
10,132 02 28.25,39 31 16.8,187 51 21.89,-3 23 30.6
11,149 44 31.46,47 18 06.5,187 53 36.07,-3 24 28.8
12,171 58 06.83,51 21 32.2,187 55 50.10,-3 25 26.9
13,195 47 49.07,50 29 59.3,187 58 04.09,-3 26 25.0
14,216 37 20.16,45 00 32.6,188 00 18.17,-3 27 23.1
15,232 46 19.17,36 18 59.2,188 02 32.47,-3 28 21.2
16,245 12 26.49,25 45 19.7,188 04 47.09,-3 29 19.3
17,255 19 49.77,14 10 16.9,188 07 02.12,-3 30 17.3
18,264 15 09.35,02 03 56.3,188 09 17.62,-3 31 15.3
19,272 50 25.05,-10 13 43.7,188 11 33.62,-3 32 13.3
20,281 54 49.82,-22 25 34.9,188 13 50.11,-3 33 11.4
21,292 29 14.28,-34 10 52.7,188 16 07.05,-3 34 09.4
22,306 04 51.80,-44 55 51.1,188 18 24.37,-3 35 07.4
23,324 55 19.95,-53 36 30.0,188 20 41.99,-3 36 05.5
