hour,azimuth,Altitude,Right ascension,Declination
0,348 57 11.18,-45 08 12.0,157 46 11.82,09 18 43.0
1,0010 01 19.14,-45 15 45.5,157 48 30.29,09 17 49.6
2,029 33 24.80,-41 05 00.2,157 50 48.69,09 16 56.2
3,045 38 46.87,-33 33 50.8,157 53 06.90,09 16 02.9
4,058 26 16.99,-23 51 56.6,157 55 24.80,09 15 09.6
5,068 53 20.71,-12 51 09.7,157 57 42.30,09 14 16.4
6,077 57 15.23,-1 04 47.7,157 59 59.34,09 13 23.1
7,086 26 35.22,11 05 15.9,158 02 15.88,09 12 29.9
8,095 07 54.92,23 22 02.7,158 04 31.92,09 11 36.6
9,104 59 02.37,35 27 40.6,158 06 47.50,09 10 43.2
10,117 32 17.69,46 55 01.7,158 09 02.67,09 09 49.9
11,135 32 48.33,56 49 33.3,158 11 17.54,09 08 56.4
12,162 36 48.45,63 13 39.4,158 13 32.21,09 08 02.9
13,195 57 15.81,63 22 12.5,158 15 46.79,09 07 09.4
14,223 25 02.03,57 10 08.7,158 18 01.44,09 06 15.7
15,241 43 24.56,47 21 00.4,158 20 16.26,09 05 22.0
16,254 25 39.40,35 55 36.2,158 22 31.36,09 04 28.3
17,264 20 33.77,23 50 12.3,158 24 46.85,09 03 34.5
18,273 02 33.90,11 32 32.6,158 27 02.79,09 02 40.6
19,281 30 17.21,00 39 25.3,158 29 19.20,09 01 46.8
20,290 30 27.56,-12 28 55.5,158 31 36.10,09 00 52.9
21,300 51 33.10,-23 34 33.5,158 33 53.44,08 59 59.1
22,313 31 04.83,-33 23 48.6,158 36 11.17,08 59 05.2
23,329 28 33.59,-41 05 37.6,158 38 29.20,08 58 11.4
