hour,azimuth,Altitude,Right ascension,Declination
0,348 50 14.98,-42 39 59.5,151 21 27.50,11 44 11.8
1,008 53 52.11,-42 55 32.4,151 23 47.68,11 43 21.4
2,027 42 53.95,-39 03 03.1,151 26 07.79,11 42 31.0
3,043 29 42.34,-31 52 36.7,151 28 27.71,11 41 40.6
4,056 12 42.83,-22 28 24.8,151 30 47.32,11 40 50.3
5,066 39 27.11,-11 40 46.9,151 33 06.53,11 40 00.0
6,075 42 01.62,00 03 07.6,151 35 25.28,11 39 09.7
7,084 06 28.78,12 02 22.9,151 37 43.52,11 38 19.4
8,092 37 40.92,24 18 56.8,151 40 01.25,11 37 29.1
9,102 11 55.39,36 29 42.8,151 42 18.52,11 36 38.8
10,114 21 44.15,48 09 55.1,151 44 35.37,11 35 48.3
11,132 05 14.25,58 28 46.0,151 46 51.91,11 34 57.8
12,160 02 01.37,65 26 41.3,151 49 08.23,11 34 07.2
13,196 09 45.84,65 51 06.2,151 51 24.47,11 33 16.6
14,225 22 11.18,59 25 54.0,151 53 40.76,11 32 25.8
15,243 57 06.23,49 20 45.2,151 55 57.22,11 31 35.0
16,256 31 32.60,37 45 35.8,151 58 13.96,11 30 44.1
17,266 16 24.78,25 35 58.7,152 00 31.08,11 29 53.1
18,274 50 29.84,13 18 13.1,152 02 48.65,11 29 02.1
19,283 12 26.19,01 09 28.5,152 05 06.69,11 28 11.0
20,292 07 36.50,-10 33 49.8,152 07 25.22,11 27 20.0
21,302 21 42.64,-21 30 30.2,152 09 44.20,11 26 28.9
22,314 46 50.57,-31 08 46.3,152 12 03.57,11 25 37.9
23,330 13 41.71,-38 40 10.9,152 14 23.23,11 24 46.9
