hour,azimuth,Altitude,Right ascension,Declination
0,348 51 38.88,-43 21 24.7,153 11 52.37,11 03 29.2
1,009 11 43.58,-43 34 53.8,153 14 12.02,11 02 37.8
2,028 12 44.76,-39 37 29.9,153 16 31.61,11 01 46.5
3,044 05 00.05,-32 21 22.5,153 18 51.00,11 00 55.3
4,056 49 32.76,-22 52 13.8,153 21 10.09,11 00 04.0
5,067 16 34.79,-12 00 51.9,153 23 28.78,10 59 12.8
6,076 19 40.14,00 20 40.9,153 25 46.99,10 58 21.6
7,084 45 35.78,11 46 12.8,153 28 04.71,10 57 30.4
8,093 19 44.83,24 02 58.1,153 30 21.93,10 56 39.2
9,102 58 53.72,36 12 26.9,153 32 38.67,10 55 47.9
10,115 15 39.46,47 49 13.1,153 34 55.01,10 54 56.5
11,133 04 44.72,58 01 21.2,153 37 11.03,10 54 05.1
12,160 47 07.44,64 49 37.5,153 39 26.85,10 53 13.6
13,196 05 12.95,65 09 29.8,153 41 42.58,10 52 22.1
14,224 47 18.14,58 48 16.6,153 43 58.36,10 51 30.4
15,243 18 14.86,48 47 44.8,153 46 14.32,10 50 38.7
16,255 55 25.28,37 15 18.2,153 48 30.57,10 49 46.9
17,265 43 25.44,25 06 48.0,153 50 47.19,10 48 55.1
18,274 19 55.45,12 48 59.3,153 53 04.26,10 48 03.2
19,282 43 37.34,00 39 15.8,153 55 21.81,10 47 11.2
20,291 40 18.52,-11 05 50.9,153 57 39.84,10 46 19.3
21,301 56 27.89,-22 05 05.1,153 59 58.33,10 45 27.4
22,314 25 40.25,-31 46 27.7,154 02 17.19,10 44 35.5
23,330 00 57.86,-39 20 48.3,154 04 36.36,10 43 43.6
