hour,azimuth,Altitude,Right ascension,Declination
0,349 27 29.96,-50 26 02.6,170 24 20.76,04 07 50.9
1,012 59 05.41,-50 11 05.7,170 26 37.15,04 06 53.7
2,034 04 40.19,-45 14 54.9,170 28 53.48,04 05 56.6
3,050 40 06.30,-36 56 32.0,170 31 09.61,04 04 59.4
4,063 27 40.64,-26 37 16.2,170 33 25.43,04 04 02.2
5,073 48 49.89,-15 10 46.0,170 35 40.86,04 03 05.1
6,082 51 10.23,-3 09 05.3,170 37 55.83,04 02 07.9
7,091 27 27.43,09 06 49.8,170 40 10.32,04 01 10.7
8,100 26 33.85,21 19 42.7,170 42 24.32,04 00 13.6
9,110 47 26.72,33 09 33.7,170 44 37.86,03 59 16.4
10,123 57 44.87,44 04 45.0,170 46 51.03,03 58 19.2
11,142 09 43.17,53 05 34.3,170 49 03.89,03 57 21.9
12,167 13 54.00,58 24 06.0,170 51 16.57,03 56 24.7
13,195 51 57.07,58 02 48.6,170 53 29.20,03 55 27.4
14,220 09 06.11,52 11 19.7,170 55 41.89,03 54 30.0
15,237 37 53.45,42 52 23.5,170 57 54.78,03 53 32.7
16,250 22 01.15,31 48 04.6,171 00 07.96,03 52 35.3
17,260 28 50.59,19 53 36.8,171 02 21.54,03 51 37.9
18,269 21 30.88,07 38 33.6,171 04 35.58,03 50 40.5
19,277 56 54.08,-4 37 52.2,171 06 50.10,03 49 43.0
20,287 03 37.46,-16 38 27.0,171 09 05.10,03 48 45.6
21,297 35 46.39,-28 01 37.0,171 11 20.55,03 47 48.2
22,310 43 42.19,-38 13 39.0,171 13 36.38,03 46 50.8
23,327 50 42.68,-46 17 47.9,171 15 52.50,03 45 53.4
