hour,azimuth,Altitude,Right ascension,Declination
0,348 49 43.74,-42 19 34.8,150 26 05.41,12 04 16.5
1,008 45 21.55,-42 36 05.8,150 28 25.86,12 03 26.5
2,027 28 29.73,-38 45 58.1,150 30 46.25,12 02 36.6
3,043 12 32.70,-31 38 17.9,150 33 06.44,12 01 46.7
4,055 54 42.92,-22 16 31.9,150 35 26.33,12 00 56.9
5,066 21 14.85,-11 30 45.4,150 37 45.81,12 00 07.1
6,075 23 31.67,00 05 37.7,150 40 04.83,11 59 17.3
7,083 47 13.27,12 10 25.4,150 42 23.34,11 58 27.5
8,092 16 56.20,24 26 51.3,150 44 41.35,11 57 37.6
9,101 48 42.39,36 38 12.7,150 46 58.89,11 56 47.7
10,113 54 58.90,48 20 03.7,150 49 16.01,11 55 57.8
11,131 35 29.09,58 42 11.5,150 51 32.82,11 55 07.7
12,159 39 15.11,65 44 55.4,150 53 49.41,11 54 17.6
13,196 12 22.71,66 11 36.2,150 56 05.92,11 53 27.4
14,225 40 03.57,59 44 20.0,150 58 22.48,11 52 37.1
15,244 16 42.70,49 36 52.1,151 00 39.21,11 51 46.7
16,256 49 37.87,38 00 22.8,151 02 56.22,11 50 56.3
17,266 32 51.48,25 50 14.0,151 05 13.61,11 50 05.8
18,275 05 41.52,13 32 31.4,151 07 31.44,11 49 15.2
19,283 26 43.40,01 24 17.1,151 09 49.76,11 48 24.6
20,292 21 07.00,-10 18 06.4,151 12 08.56,11 47 34.0
21,302 34 10.83,-21 13 29.8,151 14 27.81,11 46 43.4
22,314 57 17.60,-30 50 13.2,151 16 47.45,11 45 52.9
23,330 20 01.24,-38 20 10.5,151 19 07.38,11 45 02.3
