hour,azimuth,Altitude,Right ascension,Declination
0,349 33 19.71,-51 13 01.4,172 11 55.77,03 21 57.0
1,013 29 10.36,-50 54 10.4,172 14 12.09,03 20 59.4
2,034 48 37.75,-45 50 36.5,172 16 28.32,03 20 01.9
3,051 27 14.38,-37 25 01.8,172 18 44.36,03 19 04.4
4,064 13 42.18,-27 00 24.8,172 21 00.10,03 18 06.9
5,074 33 15.62,-15 30 27.4,172 23 15.44,03 17 09.4
6,083 34 53.57,-3 26 56.5,172 25 30.32,03 16 11.9
7,092 11 49.10,08 49 22.8,172 27 44.72,03 15 14.4
8,101 13 05.35,21 01 11.5,172 29 58.63,03 14 16.9
9,111 37 35.38,32 48 11.9,172 32 12.09,03 13 19.3
10,124 51 50.48,43 38 11.9,172 34 25.17,03 12 21.8
11,143 02 58.48,52 31 04.1,172 36 37.96,03 11 24.2
12,167 49 11.20,57 40 45.5,172 38 50.56,03 10 26.6
13,195 52 07.64,57 15 36.6,172 41 03.11,03 09 29.0
14,219 44 34.26,51 26 37.5,172 43 15.73,03 08 31.3
15,237 05 12.55,42 11 47.1,172 45 28.54,03 07 33.7
16,249 48 20.30,31 10 36.0,172 47 41.66,03 06 36.0
17,259 55 59.69,19 17 56.7,172 49 55.17,03 05 38.3
18,268 49 34.77,07 03 31.7,172 52 09.13,03 04 40.6
19,277 25 33.36,-5 13 18.3,172 54 23.58,03 03 42.8
20,286 32 43.16,-17 15 17.6,172 56 38.52,03 02 45.1
21,297 05 56.82,-28 40 53.8,172 58 53.90,03 01 47.4
22,310 17 38.38,-38 56 16.7,173 01 09.67,03 00 49.7
23,327 35 18.47,-47 03 51.3,173 03 25.72,02 59 51.9
