hour,azimuth,Altitude,Right ascension,Declination
0,349 07 37.82,-47 21 34.2,163 12 35.39,07 08 08.9
1,011 10 24.27,-47 20 33.0,163 14 52.73,07 07 13.5
2,031 21 35.75,-42 51 44.3,163 17 09.99,07 06 18.2
3,047 41 18.91,-35 01 09.1,163 19 27.06,07 05 22.9
4,060 30 27.18,-25 03 23.7,163 21 43.83,07 04 27.6
5,070 56 06.24,-13 51 21.4,163 24 00.19,07 03 32.4
6,080 00 03.56,-1 57 58.6,163 26 16.10,07 02 37.1
7,088 32 52.60,10 15 12.0,163 28 31.51,07 01 41.8
8,097 22 19.24,22 31 03.7,163 30 46.43,07 00 46.5
9,107 27 01.30,34 30 50.1,163 33 00.89,06 59 51.2
10,120 18 00.60,45 45 22.8,163 35 14.95,06 58 55.9
11,138 27 10.75,55 17 30.0,163 37 28.71,06 58 00.5
12,164 41 31.94,61 12 53.9,163 39 42.28,06 57 05.0
13,195 52 46.10,61 08 11.1,163 41 55.77,06 56 09.5
14,221 55 16.56,55 05 44.5,163 44 09.33,06 55 14.0
15,239 54 27.87,45 29 53.0,163 46 23.06,06 54 18.4
16,252 39 36.02,34 13 18.9,163 48 37.10,06 53 22.7
17,262 40 57.40,22 12 13.2,163 50 51.51,06 52 27.1
18,271 28 25.91,09 55 16.8,163 53 06.38,06 51 31.4
19,280 00 09.11,-2 18 56.5,163 55 21.72,06 50 35.6
20,289 03 47.86,-14 13 26.2,163 57 37.55,06 49 39.9
21,299 30 15.15,-25 26 40.4,163 59 53.82,06 48 44.2
22,312 22 12.50,-35 25 33.5,164 02 10.48,06 47 48.5
23,328 48 15.04,-43 16 39.2,164 04 27.43,06 46 52.8
