hour,azimuth,Altitude,Right ascension,Declination
0,349 03 41.68,-46 36 33.1,161 24 05.19,07 52 11.4
1,0010 46 11.68,-46 38 34.3,161 26 22.86,07 51 16.7
2,030 44 09.61,-42 16 01.3,161 28 40.47,07 50 22.0
3,046 59 18.02,-34 32 04.1,161 30 57.88,07 49 27.3
4,059 48 08.65,-24 39 38.6,161 33 14.98,07 48 32.6
5,070 14 26.89,-13 31 20.2,161 35 31.69,07 47 38.0
6,079 18 30.34,-1 40 14.0,161 37 47.93,07 46 43.3
7,087 50 14.42,10 31 59.8,161 40 03.68,07 45 48.7
8,096 37 03.01,22 48 17.2,161 42 18.93,07 44 54.0
9,106 37 20.48,34 50 09.8,161 44 33.72,07 43 59.3
10,119 22 41.91,46 09 09.2,161 46 48.12,07 43 04.5
11,137 29 36.30,55 48 52.5,161 49 02.21,07 42 09.7
12,164 00 52.18,61 53 46.4,161 51 16.10,07 41 14.9
13,195 53 45.95,61 53 25.4,161 53 29.93,07 40 19.9
14,222 24 09.10,55 47 55.6,161 55 43.81,07 39 25.0
15,240 30 09.62,46 07 41.7,161 57 57.87,07 38 30.0
16,253 14 42.37,34 48 08.5,162 00 12.23,07 37 34.9
17,263 14 08.31,22 45 32.8,162 02 26.97,07 36 39.8
18,271 59 56.06,10 28 18.0,162 04 42.16,07 35 44.6
19,280 30 25.89,-1 45 13.5,162 06 57.83,07 34 49.5
20,289 33 01.05,-13 38 05.6,162 09 13.98,07 33 54.3
21,299 57 46.13,-24 48 48.5,162 11 30.58,07 32 59.1
22,312 45 35.85,-34 44 27.6,162 13 47.56,07 32 04.0
23,329 01 53.63,-42 32 25.3,162 16 04.83,07 31 08.9
