hour,azimuth,Altitude,Right ascension,Declination
0,350 33 25.33,-58 44 41.1,189 17 24.93,-4 00 15.9
1,019 07 35.31,-57 42 14.4,189 19 42.96,-4 01 13.8
2,042 39 20.93,-51 20 17.0,189 22 00.91,-4 02 11.8
3,059 28 56.55,-41 45 07.8,189 24 18.66,-4 03 09.8
4,071 50 09.42,-30 33 11.9,189 26 36.11,-4 04 07.8
5,081 45 42.01,-18 35 44.6,189 28 53.15,-4 05 05.8
6,090 34 50.32,-6 20 35.6,189 31 09.74,-4 06 03.8
7,099 12 46.97,05 53 31.3,189 33 25.85,-4 07 01.9
8,108 28 08.81,17 49 02.7,189 35 41.48,-4 07 59.9
9,119 16 11.62,29 03 14.4,189 37 56.68,-4 08 57.9
10,132 48 31.27,39 00 05.6,189 40 11.50,-4 09 55.8
11,150 25 00.77,46 39 37.9,189 42 26.06,-4 10 53.8
12,172 21 14.72,50 36 28.3,189 44 40.45,-4 11 51.7
13,195 45 57.22,49 42 38.9,189 46 54.81,-4 12 49.6
14,216 17 02.06,44 15 27.1,189 49 09.27,-4 13 47.5
15,232 17 43.77,35 37 40.9,189 51 23.94,-4 14 45.3
16,244 41 08.36,25 07 21.3,189 53 38.94,-4 15 43.1
17,254 47 45.89,13 34 37.4,189 55 54.34,-4 16 40.9
18,263 42 38.09,01 29 32.3,189 58 10.23,-4 17 38.7
19,272 17 07.82,-10 47 54.5,190 00 26.61,-4 18 36.4
20,281 20 22.91,-23 00 38.5,190 02 43.48,-4 19 34.2
21,291 53 47.39,-34 48 05.5,190 05 00.81,-4 20 31.9
22,305 30 50.88,-45 36 39.2,190 07 18.52,-4 21 29.7
23,324 31 53.90,-54 21 45.0,190 09 36.52,-4 22 27.5
