hour,azimuth,Altitude,Right ascension,Declination
0,350 24 25.26,-57 33 38.4,186 34 22.27,-2 50 31.4
1,018 08 17.51,-56 38 42.7,186 36 39.77,-2 51 29.6
2,041 19 34.03,-50 29 53.9,186 38 57.19,-2 52 27.9
3,058 10 00.04,-41 05 35.5,186 41 14.41,-2 53 26.2
4,070 36 56.71,-30 00 30.1,186 43 31.33,-2 54 24.5
5,080 37 16.30,-18 06 38.4,186 45 47.84,-2 55 22.8
6,089 29 02.79,-5 52 34.8,186 48 03.91,-2 56 21.1
7,098 07 27.79,06 22 36.0,186 50 19.48,-2 57 19.4
8,107 21 27.75,18 21 21.7,186 52 34.58,-2 58 17.7
9,118 07 12.46,29 41 17.0,186 54 49.24,-2 59 16.0
10,131 39 01.22,39 46 44.2,186 57 03.53,-3 00 14.2
11,149 23 43.02,47 37 15.8,186 59 17.54,-3 01 12.5
12,171 46 03.87,51 44 05.3,187 01 31.39,-3 02 10.7
13,195 48 36.99,50 53 44.7,187 03 45.21,-3 03 09.0
14,216 47 35.24,45 23 10.7,187 05 59.12,-3 04 07.1
15,233 00 44.78,36 39 43.3,187 08 13.25,-3 05 05.3
16,245 28 11.05,26 04 24.1,187 10 27.69,-3 06 03.5
17,255 35 54.24,14 28 12.9,187 12 42.55,-3 07 01.6
18,264 31 24.60,02 21 16.0,187 14 57.88,-3 07 59.7
19,273 07 00.10,-9 56 29.0,187 17 13.70,-3 08 57.9
20,282 11 55.58,-22 07 52.3,187 19 30.01,-3 09 56.0
21,292 46 44.01,-33 52 04.6,187 21 46.77,-3 10 54.1
22,306 21 30.37,-44 35 15.6,187 24 03.92,-3 11 52.2
23,325 06 36.88,-53 13 44.0,187 26 21.36,-3 12 50.4
