hour,azimuth,Altitude,Right ascension,Declination
0,349 09 45.83,-47 44 16.0,164 06 44.56,06 45 57.1
1,011 22 57.33,-47 41 39.5,164 09 01.74,06 45 01.5
2,031 40 49.43,-43 09 37.5,164 11 18.86,06 44 05.9
3,048 02 44.70,-35 15 40.2,164 13 35.77,06 43 10.3
4,060 51 55.84,-25 15 14.1,164 15 52.38,06 42 14.7
5,071 17 11.11,-14 01 20.6,164 18 08.60,06 41 19.2
6,080 21 02.67,-2 06 51.2,164 20 24.35,06 40 23.7
7,088 54 22.33,10 06 45.6,164 22 39.60,06 39 28.1
8,097 45 06.21,22 22 21.8,164 24 54.36,06 38 32.5
9,107 51 57.61,34 21 01.5,164 27 08.67,06 37 36.9
10,120 45 39.07,45 33 17.1,164 29 22.58,06 36 41.3
11,138 55 42.99,55 01 33.8,164 31 36.19,06 35 45.6
12,165 01 29.98,60 52 14.7,164 33 49.60,06 34 49.9
13,195 52 25.46,60 45 22.6,164 36 02.95,06 33 54.1
14,221 41 12.75,54 44 24.4,164 38 16.36,06 32 58.3
15,239 36 51.18,45 10 42.9,164 40 29.95,06 32 02.5
16,252 22 08.99,33 55 39.1,164 42 43.83,06 31 06.5
17,262 24 23.00,21 55 19.9,164 44 58.10,06 30 10.6
18,271 12 38.53,09 38 34.2,164 47 12.82,06 29 14.6
19,279 44 55.78,-2 35 58.8,164 49 28.03,06 28 18.7
20,288 49 03.92,-14 31 16.4,164 51 43.71,06 27 22.7
21,299 16 20.12,-25 45 45.9,164 53 59.84,06 26 26.7
22,312 10 20.56,-35 46 16.4,164 56 16.35,06 25 30.7
23,328 41 20.27,-43 38 57.1,164 58 33.16,06 24 34.8
