hour,azimuth,Altitude,Right ascension,Declination
0,349 12 00.28,-48 07 04.7,165 00 50.14,06 23 38.8
1,011 35 48.24,-48 02 50.3,165 03 07.18,06 22 42.9
2,032 00 23.34,-43 27 31.6,165 05 24.14,06 21 47.1
3,048 24 26.98,-35 30 10.1,165 07 40.91,06 20 51.2
4,061 13 36.92,-25 27 02.9,165 09 57.37,06 19 55.4
5,071 38 25.58,-14 11 18.9,165 12 13.43,06 18 59.6
6,080 42 09.56,-2 15 43.9,165 14 29.03,06 18 03.8
7,089 15 58.56,09 58 17.5,165 16 44.13,06 17 08.0
8,098 07 58.42,22 13 36.2,165 18 58.75,06 16 12.1
9,108 16 57.07,34 11 07.1,165 21 12.90,06 15 16.3
10,121 13 15.98,45 21 03.2,165 23 26.66,06 14 20.4
11,139 24 04.27,54 45 27.8,165 25 40.11,06 13 24.4
12,165 21 12.96,60 31 27.3,165 27 53.38,06 12 28.5
13,195 52 10.21,60 22 27.1,165 30 06.58,06 11 32.4
14,221 27 23.43,54 22 55.4,165 32 19.84,06 10 36.4
15,239 19 23.95,44 51 22.9,165 34 33.29,06 09 40.2
16,252 04 46.24,33 37 50.0,165 36 47.03,06 08 44.1
17,262 07 49.50,21 38 18.2,165 39 01.16,06 07 47.9
18,270 56 49.77,09 21 44.1,165 41 15.74,06 06 51.7
19,279 29 39.27,-2 53 07.6,165 43 30.80,06 05 55.5
20,288 34 15.11,-14 49 12.5,165 45 46.35,06 04 59.2
21,299 02 18.64,-26 04 57.1,165 48 02.33,06 04 03.0
22,311 58 21.51,-36 07 05.4,165 50 18.70,06 03 06.8
23,328 34 21.49,-44 01 21.8,165 52 35.36,06 02 10.6
