hour,azimuth,Altitude,Right ascension,Declination
0,349 48 54.31,-53 11 27.0,176 40 45.73,01 26 12.6
1,014 49 15.86,-52 42 11.3,176 43 02.06,01 25 14.4
2,036 43 41.46,-47 19 18.9,176 45 18.32,01 24 16.3
3,053 28 42.99,-38 35 28.5,176 47 34.38,01 23 18.1
4,066 11 06.80,-27 57 39.7,176 49 50.14,01 22 20.0
5,076 25 52.03,-16 19 28.0,176 52 05.50,01 21 21.9
6,085 25 12.63,-4 11 49.9,176 54 20.41,01 20 23.7
7,094 03 18.49,08 04 58.2,176 56 34.83,01 19 25.6
8,103 09 28.57,20 13 32.4,176 58 48.77,01 18 27.4
9,113 42 09.38,31 52 51.2,177 01 02.26,01 17 29.3
10,127 04 36.76,42 29 24.3,177 03 15.37,01 16 31.1
11,145 11 04.81,51 02 23.6,177 05 28.20,01 15 32.9
12,169 12 03.57,55 50 50.1,177 07 40.86,01 14 34.7
13,195 52 24.70,55 16 40.0,177 09 53.46,01 13 36.5
14,218 46 02.60,49 33 38.7,177 12 06.15,01 12 38.3
15,235 45 46.90,40 28 50.8,177 14 19.03,01 11 40.1
16,248 25 19.51,29 35 35.6,177 16 32.22,01 10 41.9
17,258 34 11.89,17 47 42.6,177 18 45.82,01 09 43.6
18,267 29 23.67,05 35 10.5,177 20 59.87,01 08 45.4
19,276 06 14.25,-6 42 23.4,177 23 14.41,01 07 47.2
20,285 13 50.87,-18 47 41.3,177 25 29.43,01 06 48.9
21,295 49 01.27,-30 19 17.4,177 27 44.90,01 05 50.7
22,309 09 28.33,-40 43 10.2,177 30 00.76,01 04 52.4
23,326 54 17.69,-48 59 40.8,177 32 16.91,01 03 54.2
