hour,azimuth,Altitude,Right ascension,Declination
0,348 53 30.92,-44 03 35.8,155 01 53.15,10 22 04.1
1,009 30 42.56,-44 14 50.6,155 04 12.32,10 21 11.9
2,028 43 58.61,-40 12 17.3,155 06 31.41,10 20 19.8
3,044 41 34.51,-32 50 17.2,155 08 50.31,10 19 27.6
4,057 27 27.71,-23 16 06.1,155 11 08.90,10 18 35.6
5,067 54 37.91,-12 20 58.6,155 13 27.09,10 17 43.5
6,076 58 07.83,00 38 17.6,155 15 44.81,10 16 51.4
7,085 25 28.22,11 29 55.3,155 18 02.03,10 15 59.3
8,094 02 31.75,23 46 46.1,155 20 18.75,10 15 07.2
9,103 46 31.49,35 54 49.2,155 22 35.00,10 14 15.1
10,116 10 02.85,47 27 57.8,155 24 50.85,10 13 22.9
11,134 04 09.03,57 33 11.3,155 27 06.39,10 12 30.7
12,161 31 33.65,64 11 47.3,155 29 21.72,10 11 38.3
13,196 01 29.49,64 27 07.0,155 31 36.98,10 10 45.9
14,224 13 33.30,58 09 41.6,155 33 52.28,10 09 53.4
15,242 39 54.01,48 13 44.9,155 36 07.77,10 09 00.9
16,255 19 24.18,36 44 04.8,155 38 23.54,10 08 08.2
17,265 10 19.77,24 36 45.9,155 40 39.70,10 07 15.6
18,273 49 07.57,12 18 57.9,155 42 56.30,10 06 22.9
19,282 14 30.10,00 08 18.4,155 45 13.38,10 05 30.1
20,291 12 38.28,-11 38 35.0,155 47 30.94,10 04 37.4
21,301 30 48.47,-22 40 23.0,155 49 48.94,10 03 44.6
22,314 04 07.52,-32 24 53.6,155 52 07.34,10 02 51.9
23,329 48 06.61,-40 02 12.0,155 54 26.02,10 01 59.2
