hour,azimuth,Altitude,Right ascension,Declination
0,350 39 02.33,-59 31 45.4,191 06 29.35,-4 46 31.4
1,019 48 12.28,-58 24 12.8,191 08 47.80,-4 47 29.1
2,043 33 24.31,-51 53 23.6,191 11 06.17,-4 48 26.8
3,060 21 51.17,-42 11 06.4,191 13 24.34,-4 49 24.5
4,072 38 54.29,-30 54 47.3,191 15 42.20,-4 50 22.3
5,082 31 04.58,-18 55 06.9,191 17 59.67,-4 51 20.0
6,091 18 19.82,-6 39 23.7,191 20 16.67,-4 52 17.8
7,099 55 49.50,05 33 52.4,191 22 33.20,-4 53 15.5
8,109 11 54.39,17 27 07.5,191 24 49.24,-4 54 13.3
9,120 01 10.84,28 37 25.7,191 27 04.85,-4 55 11.0
10,133 33 23.53,38 28 34.3,191 29 20.09,-4 56 08.7
11,151 03 58.89,46 00 58.6,191 31 35.06,-4 57 06.4
12,172 43 05.37,49 51 30.1,191 33 49.87,-4 58 04.0
13,195 43 42.71,48 55 35.3,191 36 04.66,-4 59 01.6
14,215 56 58.23,43 30 39.0,191 38 19.53,-4 59 59.1
15,231 49 28.44,34 56 38.9,191 40 34.63,-5 00 56.7
16,244 10 04.63,24 29 40.2,191 42 50.06,-5 01 54.2
17,254 15 48.98,12 59 18.1,191 45 05.91,-5 02 51.7
18,263 10 06.29,00 55 32.2,191 47 22.23,-5 03 49.1
19,271 43 41.69,-11 21 37.3,191 49 39.05,-5 04 46.6
20,280 45 36.00,-23 35 10.1,191 51 56.37,-5 05 44.0
21,291 17 44.02,-35 24 43.4,191 54 14.14,-5 06 41.4
22,304 55 50.24,-46 16 53.3,191 56 32.30,-5 07 38.9
23,324 07 14.08,-55 06 33.6,191 58 50.75,-5 08 36.4
