hour,azimuth,Altitude,Right ascension,Declination
0,349 19 20.35,-49 16 08.8,167 42 46.78,05 16 08.5
1,012 16 07.65,-49 06 44.8,167 45 03.44,05 15 11.9
2,033 01 04.43,-44 21 15.0,167 47 20.02,05 14 15.3
3,049 31 09.03,-36 13 30.0,167 49 36.40,05 13 18.7
4,062 19 50.40,-26 02 18.3,167 51 52.48,05 12 22.2
5,072 43 02.15,-14 41 07.0,167 54 08.16,05 11 25.6
6,081 46 12.51,-2 42 23.1,167 56 23.39,05 10 29.1
7,090 21 21.69,09 32 42.7,167 58 38.12,05 09 32.5
8,099 17 01.42,21 46 57.3,168 00 52.36,05 08 36.0
9,109 32 08.28,33 40 48.2,168 03 06.15,05 07 39.4
10,122 35 50.11,44 43 31.6,168 05 19.55,05 06 42.8
11,140 47 55.26,53 56 12.7,168 07 32.64,05 05 46.1
12,166 18 47.81,59 28 18.7,168 09 45.56,05 04 49.4
13,195 51 50.67,59 13 02.6,168 11 58.41,05 03 52.7
14,220 47 18.07,53 17 39.4,168 14 11.32,05 02 56.0
15,238 27 58.30,43 52 28.8,168 16 24.42,05 01 59.2
16,251 13 04.15,32 43 31.0,168 18 37.82,05 01 02.3
17,261 18 15.14,20 46 27.1,168 20 51.61,05 00 05.5
18,270 09 15.85,08 30 34.0,168 23 05.85,04 59 08.6
19,278 43 30.92,-3 45 08.8,168 25 20.57,04 58 11.7
20,287 49 19.16,-15 43 31.6,168 27 35.78,04 57 14.9
21,298 19 34.24,-27 03 00.1,168 29 51.42,04 56 18.0
22,311 21 39.09,-37 10 03.6,168 32 07.45,04 55 21.1
23,328 12 57.38,-45 09 12.2,168 34 23.77,04 54 24.3
