hour,azimuth,Altitude,Right ascension,Declination
0,349 36 20.54,-51 36 36.5,173 05 41.96,02 58 54.2
1,013 44 38.32,-51 15 45.0,173 07 58.25,02 57 56.6
2,035 11 03.75,-46 08 25.0,173 10 14.46,02 56 58.9
3,051 51 08.06,-37 39 12.8,173 12 30.48,02 56 01.2
4,064 36 55.97,-27 11 56.0,173 14 46.20,02 55 03.6
5,074 55 37.29,-15 40 16.9,173 17 01.52,02 54 05.9
6,083 56 51.34,-3 35 53.2,173 19 16.38,02 53 08.2
7,092 34 03.88,08 40 35.5,173 21 30.75,02 52 10.6
8,101 36 22.50,20 51 49.2,173 23 44.64,02 51 12.9
9,112 02 36.80,32 37 21.2,173 25 58.08,02 50 15.2
10,125 18 41.93,43 24 42.9,173 28 11.13,02 49 17.5
11,143 29 11.33,52 13 36.2,173 30 23.90,02 48 19.8
12,168 06 22.81,57 18 56.6,173 32 36.48,02 47 22.1
13,195 52 13.15,56 51 55.0,173 34 49.00,02 46 24.3
14,219 32 33.72,51 04 09.1,173 37 01.60,02 45 26.5
15,236 49 04.24,41 51 20.5,173 39 14.40,02 44 28.7
16,249 31 36.12,30 51 44.0,173 41 27.50,02 43 30.9
17,259 39 35.93,19 00 00.2,173 43 40.99,02 42 33.1
18,268 33 34.94,06 45 55.8,173 45 54.95,02 41 35.2
19,277 09 48.13,-5 31 04.9,173 48 09.39,02 40 37.4
20,286 17 07.88,-17 33 45.4,173 50 24.31,02 39 39.5
21,296 50 50.24,-29 00 34.2,173 52 39.68,02 38 41.7
22,310 04 21.71,-39 17 38.3,173 54 55.44,02 37 43.8
23,327 27 24.57,-47 26 57.4,173 57 11.49,02 36 46.0
