hour,azimuth,Altitude,Right ascension,Declination
0,349 21 58.43,-49 39 21.8,168 36 40.27,04 53 27.4
1,012 30 09.46,-49 28 09.3,168 38 56.82,04 52 30.6
2,033 21 57.29,-44 39 09.0,168 41 13.30,04 51 33.8
3,049 53 53.64,-36 27 52.8,168 43 29.58,04 50 37.0
4,062 42 17.00,-26 13 59.6,168 45 45.56,04 49 40.3
5,073 04 50.75,-14 51 01.0,168 48 01.14,04 48 43.5
6,082 07 46.25,-2 51 16.7,168 50 16.26,04 47 46.7
7,090 43 19.48,09 24 07.2,168 52 30.89,04 46 50.0
8,099 40 09.64,21 37 56.6,168 54 45.03,04 45 53.2
9,109 57 14.42,33 30 29.6,168 56 58.72,04 44 56.4
10,123 03 13.67,44 30 44.4,168 59 12.01,04 43 59.6
11,141 15 25.78,53 39 28.9,169 01 25.01,04 43 02.7
12,166 37 26.84,59 07 01.2,169 03 37.83,04 42 05.9
13,195 51 50.74,58 49 42.9,169 05 50.58,04 41 08.9
14,220 34 22.15,52 55 39.3,169 08 03.40,04 40 12.0
15,238 11 07.93,43 32 34.3,169 10 16.41,04 39 15.0
16,250 55 58.83,32 25 09.1,169 12 29.71,04 38 18.0
17,261 01 45.85,20 28 56.3,169 14 43.41,04 37 20.9
18,269 53 22.08,08 13 18.8,169 16 57.55,04 36 23.9
19,278 28 01.84,-4 02 39.2,169 19 12.18,04 35 26.8
20,287 34 10.45,-16 01 46.7,169 21 27.29,04 34 29.7
21,298 05 05.58,-27 22 29.3,169 23 42.85,04 33 32.6
22,311 09 08.84,-37 31 11.9,169 25 58.79,04 32 35.6
23,328 05 38.72,-45 31 59.6,169 28 15.03,04 31 38.5
