hour,azimuth,Altitude,Right ascension,Declination
0,349 01 53.74,-46 14 14.7,160 29 43.91,08 14 01.5
1,0010 34 32.10,-46 17 43.0,160 32 01.77,08 13 07.1
2,030 25 57.41,-41 58 12.5,160 34 19.56,08 12 12.7
3,046 38 43.57,-34 17 30.8,160 36 37.15,08 11 18.3
4,059 27 19.59,-24 27 44.3,160 38 54.44,08 10 24.0
5,069 53 53.26,-13 21 18.5,160 41 11.33,08 09 29.6
6,078 57 57.10,-1 31 22.0,160 43 27.75,08 08 35.3
7,087 29 06.89,10 40 21.3,160 45 43.68,08 07 41.0
8,096 14 34.77,22 56 48.7,160 47 59.12,08 06 46.6
9,106 12 37.21,34 59 41.1,160 50 14.09,08 05 52.3
10,118 55 03.18,46 20 49.9,160 52 28.67,08 04 57.8
11,137 00 35.61,56 04 18.4,160 54 42.93,08 04 03.4
12,163 40 11.24,62 13 59.1,160 56 57.00,08 03 08.8
13,195 54 26.29,62 15 50.4,160 59 11.00,08 02 14.2
14,222 38 58.42,56 08 45.7,161 01 25.05,08 01 19.6
15,240 48 14.55,46 26 19.4,161 03 39.29,08 00 24.9
16,253 32 21.36,35 05 17.5,161 05 53.81,07 59 30.1
17,263 30 44.48,23 01 58.2,161 08 08.72,07 58 35.3
18,272 15 38.54,10 44 35.7,161 10 24.08,07 57 40.5
19,280 45 29.15,-1 28 33.6,161 12 39.91,07 56 45.6
20,289 47 30.23,-13 20 36.1,161 14 56.23,07 55 50.7
21,300 11 22.20,-24 30 03.0,161 17 12.99,07 54 55.9
22,312 57 07.59,-34 24 05.6,161 19 30.13,07 54 01.0
23,329 08 37.96,-42 10 30.2,161 21 47.57,07 53 06.2
