hour,azimuth,Altitude,Right ascension,Declination
0,348 52 31.41,-43 42 24.8,154 06 55.70,10 42 51.8
1,009 21 04.60,-43 54 48.0,154 09 15.11,10 42 00.0
2,028 28 11.32,-39 54 51.2,154 11 34.45,10 41 08.3
3,044 23 07.78,-32 35 48.9,154 13 53.59,10 40 16.6
4,057 08 22.25,-23 04 09.7,154 16 12.43,10 39 24.9
5,067 35 29.59,-12 10 55.1,154 18 30.86,10 38 33.2
6,076 38 48.03,00 29 28.8,154 20 48.83,10 37 41.6
7,085 05 26.52,11 38 04.9,154 23 06.30,10 36 50.0
8,093 41 03.14,23 54 53.8,154 25 23.26,10 35 58.3
9,103 22 37.96,36 03 40.8,154 27 39.76,10 35 06.6
10,115 42 48.03,47 38 39.6,154 29 55.85,10 34 14.8
11,133 34 28.12,57 47 21.8,154 32 11.62,10 33 22.9
12,161 09 25.84,64 30 48.0,154 34 27.19,10 32 31.0
13,196 03 15.37,64 48 24.0,154 36 42.68,10 31 39.0
14,224 30 17.24,58 29 06.1,154 38 58.22,10 30 47.0
15,242 59 00.48,48 30 52.1,154 41 13.94,10 29 54.8
16,255 37 23.80,36 59 48.3,154 43 29.94,10 29 02.6
17,265 26 53.27,24 51 53.2,154 45 46.32,10 28 10.3
18,274 04 33.10,12 34 04.3,154 48 03.15,10 27 18.0
19,282 29 05.95,00 23 52.5,154 50 20.46,10 26 25.7
20,291 26 31.15,-11 22 07.7,154 52 38.25,10 25 33.3
21,301 43 41.26,-22 22 38.9,154 54 56.49,10 24 41.0
22,314 14 56.74,-32 05 35.3,154 57 15.12,10 23 48.7
23,329 54 33.23,-39 41 24.5,154 59 34.04,10 22 56.4
