hour,azimuth,Altitude,Right ascension,Declination
0,348 58 38.47,-45 30 03.8,158 40 47.40,08 57 17.6
1,0010 12 05.93,-45 36 18.2,158 43 05.67,08 56 23.9
2,029 50 34.99,-41 22 41.5,158 45 23.87,08 55 30.1
3,045 58 27.78,-33 48 23.8,158 47 41.87,08 54 36.5
4,058 46 23.46,-24 03 53.1,158 49 59.56,08 53 42.8
5,069 13 19.84,-13 01 13.1,158 52 16.86,08 52 49.2
6,078 17 19.20,-1 13 38.7,158 54 33.69,08 51 55.5
7,086 47 16.91,10 56 59.4,158 56 50.03,08 51 01.9
8,095 30 00.30,23 13 41.4,158 59 05.86,08 50 08.3
9,105 23 27.63,35 18 26.4,159 01 21.24,08 49 14.6
10,117 59 50.42,46 43 46.1,159 03 36.21,08 48 20.8
11,136 02 10.93,56 34 38.9,159 05 50.87,08 47 27.0
12,162 58 09.04,62 53 55.8,159 08 05.33,08 46 33.2
13,195 56 10.66,63 00 14.3,159 10 19.71,08 45 39.2
14,223 09 24.62,56 49 52.7,159 12 34.15,08 44 45.2
15,241 24 52.11,47 02 59.1,159 14 48.77,08 43 51.2
16,254 07 50.04,35 39 01.6,159 17 03.68,08 42 57.1
17,264 03 57.37,23 34 18.3,159 19 18.97,08 42 02.9
18,272 46 57.58,11 16 43.3,159 21 34.70,08 41 08.7
19,281 15 24.89,00 55 39.2,159 23 50.92,08 40 14.5
20,290 16 13.50,-12 46 00.6,159 26 07.61,08 39 20.3
21,300 38 15.61,-23 52 55.1,159 28 24.75,08 38 26.1
22,313 19 51.91,-33 43 45.7,159 30 42.28,08 37 31.9
23,329 21 57.73,-41 27 06.0,159 33 00.10,08 36 37.8
