hour,azimuth,Altitude,Right ascension,Declination
0,349 16 47.77,-48 53 01.5,166 48 50.94,05 38 44.2
1,012 02 23.45,-48 45 23.2,166 51 07.70,05 37 47.8
2,032 40 31.02,-44 03 20.5,166 53 24.38,05 36 51.5
3,049 08 39.47,-35 59 05.1,166 55 40.87,05 35 55.2
4,061 57 34.59,-25 50 35.0,166 57 57.06,05 34 58.8
5,072 21 21.48,-14 31 12.0,167 00 12.84,05 34 02.5
6,081 24 44.86,-2 33 29.8,167 02 28.16,05 33 06.2
7,089 59 28.64,09 41 16.2,167 04 43.00,05 32 09.9
8,098 53 56.47,21 55 54.1,167 06 57.34,05 31 13.6
9,109 07 02.93,33 51 00.6,167 09 11.22,05 30 17.2
10,122 08 22.15,44 56 10.5,167 11 24.72,05 29 20.8
11,140 20 11.04,54 12 47.2,167 13 37.91,05 28 24.4
12,165 59 52.22,59 49 29.1,167 15 50.92,05 27 28.0
13,195 51 53.48,59 36 16.8,167 18 03.87,05 26 31.5
14,221 00 26.61,53 39 32.5,167 20 16.88,05 25 34.9
15,238 44 57.69,44 12 15.4,167 22 30.08,05 24 38.4
16,251 30 13.85,33 01 45.5,167 24 43.57,05 23 41.7
17,261 34 45.57,21 03 51.4,167 26 57.46,05 22 45.1
18,270 25 08.45,08 47 43.6,167 29 11.79,05 21 48.4
19,278 58 56.89,-3 27 43.0,167 31 26.61,05 20 51.8
20,288 04 22.83,-15 25 20.5,167 33 41.90,05 19 55.1
21,298 33 55.90,-26 43 34.7,167 35 57.64,05 18 58.4
22,311 34 01.11,-36 48 59.4,167 38 13.77,05 18 01.7
23,328 20 10.48,-44 46 29.7,167 40 30.19,05 17 05.1
