hour,azimuth,Altitude,Right ascension,Declination
0,348 55 50.81,-44 46 29.8,156 51 31.10,09 39 59.4
1,009 50 49.72,-44 55 19.8,156 53 49.79,09 39 06.4
2,029 16 35.35,-40 47 22.1,156 56 08.41,09 38 13.4
3,045 19 24.24,-33 19 18.5,156 58 26.84,09 37 20.5
4,058 06 25.36,-23 39 59.8,157 00 44.96,09 36 27.6
5,068 33 33.81,-12 41 06.1,157 03 02.68,09 35 34.7
6,077 37 21.80,00 55 57.1,157 05 19.94,09 34 41.8
7,086 06 02.97,11 13 30.8,157 07 36.70,09 33 49.0
8,094 45 58.09,23 30 20.5,157 09 52.96,09 32 56.0
9,104 34 44.25,35 36 49.1,157 12 08.75,09 32 03.1
10,117 04 48.41,47 06 08.8,157 14 24.14,09 31 10.1
11,135 03 19.97,57 04 16.9,157 16 39.22,09 30 17.1
12,162 15 15.43,63 33 12.7,157 18 54.09,09 29 23.9
13,195 58 30.27,63 44 00.9,157 21 08.90,09 28 30.7
14,223 40 55.81,57 30 12.5,157 23 23.75,09 27 37.5
15,242 02 05.81,47 38 48.7,157 25 38.79,09 26 44.1
16,254 43 31.69,36 11 58.4,157 27 54.11,09 25 50.7
17,264 37 09.76,24 05 55.1,157 30 09.81,09 24 57.3
18,273 18 07.77,11 48 11.7,157 32 25.96,09 24 03.8
19,281 45 05.58,00 23 20.8,157 34 42.59,09 23 10.3
20,290 44 36.41,-12 11 59.2,157 36 59.69,09 22 16.8
21,301 04 44.39,-23 16 20.7,157 39 17.24,09 21 23.3
22,313 42 11.66,-33 04 00.6,157 41 35.18,09 20 29.8
23,329 35 06.92,-40 44 18.9,157 43 53.41,09 19 36.4
