hour,azimuth,Altitude,Right ascension,Declination
0,350 14 56.88,-56 22 14.2,183 51 54.93,-1 40 30.8
1,017 11 03.97,-55 34 37.6,183 54 11.96,-1 41 29.2
2,040 01 33.63,-49 38 44.1,183 56 28.92,-1 42 27.6
3,056 51 48.14,-40 25 24.1,183 58 45.69,-1 43 26.0
4,069 23 50.29,-29 27 26.4,184 01 02.15,-1 44 24.4
5,079 28 35.98,-17 37 28.5,184 03 18.21,-1 45 22.9
6,088 22 46.35,-5 24 47.6,184 05 33.82,-1 46 21.3
7,097 01 25.17,06 51 11.4,184 07 48.94,-1 47 19.7
8,106 13 42.84,18 52 58.0,184 10 03.59,-1 48 18.2
9,116 56 36.49,30 18 27.5,184 12 17.79,-1 49 16.6
10,130 27 03.12,40 32 30.3,184 14 31.62,-1 50 15.0
11,148 19 04.72,48 34 19.3,184 16 45.17,-1 51 13.4
12,171 07 58.52,52 51 44.1,184 18 58.56,-1 52 11.8
13,195 50 30.70,52 05 16.4,184 21 11.90,-1 53 10.2
14,217 18 47.53,46 31 20.7,184 23 25.34,-1 54 08.6
15,233 44 34.52,37 42 08.9,184 25 38.98,-1 55 07.0
16,246 15 46.61,27 01 52.6,184 27 52.94,-1 56 05.3
17,256 24 16.87,15 22 20.6,184 30 07.31,-1 57 03.7
18,265 20 07.54,03 13 40.6,184 32 22.15,-1 58 02.0
19,273 56 29.56,-9 04 13.4,184 34 37.48,-1 59 00.3
20,283 02 40.77,-21 14 07.5,184 36 53.31,-1 59 58.7
21,293 38 17.92,-32 54 59.5,184 39 09.58,-2 00 57.0
22,307 10 00.66,-43 32 50.1,184 41 26.25,-2 01 55.3
23,325 38 49.95,-52 04 58.0,184 43 43.20,-2 02 53.7
