pow,sunshine,humdt,sunshine_humdt,temp_press,wnd_spd,visiblt,cloud2,pow_Y
0.1653179190751445,0.0,0.93181825,0.06781483,0.2517986,0.125,0.05250035,0.90000004,0.007514450867052024
0.4254335260115607,0.0,0.8409091,0.15823466,0.3021583,0.16346155,0.07078543,0.4,0.09826589595375723
0.6936416184971098,0.0,0.80681825,0.19214207,0.33093524,0.15384616,0.08810085,0.90000004,0.2294797687861272
0.8450867052023122,0.0,0.7613637,0.23735195,0.36690652,0.25,0.1239784,0.5,0.3300578034682081
0.9329479768786128,0.0,0.7386364,0.2599569,0.38489208,0.15384616,0.14046268,0.90000004,0.3878612716763006
0.8739884393063584,0.0,0.7159091,0.28256184,0.41007197,0.16346155,0.17176895,0.7,0.3959537572254335
0.9294797687861273,0.1,0.6363637,0.3622175,0.46762595,0.17307693,0.19476382,0.1,0.3329479768786127
0.7826589595375723,0.7,0.5795455,0.4219591,0.5215827,0.25,0.22814795,0.1,0.31213872832369943
0.4416184971098266,0.9,0.5568182,0.4456405,0.53956836,0.11538462,0.19587202,0.6,0.192485549132948
0.2809248554913295,0.8,0.5113637,0.49031216,0.5899281,0.26923078,0.20889321,0.2,0.021965317919075147
0.11791907514450868,0.8,0.5113637,0.49031216,0.5971224,0.1923077,0.2130489,0.5,0.0023121387283236996
0.021965317919075147,0.9,0.5909091,0.41173297,0.5179856,0.067307696,0.21845132,0.5,0.0
0.0,0.2,0.8409091,0.15931106,0.32374096,0.028846156,0.1507134,0.5,0.0
0.0,0.0,0.93181825,0.06781483,0.27338126,0.0,0.10278433,0.0,0.0
0.0,0.0,0.97727275,0.022604942,0.28057554,0.0,0.00096966344,0.4,0.0
0.006936416184971098,0.0,0.97727275,0.022604942,0.28417268,0.0,0.0012467101,0.2,0.0
0.08901734104046244,0.0,0.97727275,0.022604942,0.28057554,0.03846154,0.0005540934,0.3,0.0023121387283236996
0.28439306358381505,0.0,0.97727275,0.022604942,0.266187,0.03846154,0.013021195,0.6,0.04739884393063584
0.25086705202312143,0.2,0.9659091,0.034983754,0.24460432,0.05769231,0.11885303,0.5,0.18670520231213875
0.33641618497109826,0.5,0.6931819,0.30785793,0.43165472,0.27884617,0.23452003,0.1,0.2046242774566474
0.246242774566474,0.3,0.6477273,0.35199142,0.4640288,0.1826923,0.22260702,0.90000004,0.3127167630057804
0.1699421965317919,0.3,0.6136364,0.38589883,0.50359714,0.29807693,0.2492035,0.2,0.3398843930635838
0.10173410404624278,0.0,0.6136364,0.3842842,0.4964029,0.23076925,0.22814795,0.4,0.26416184971098267
0.10404624277456648,0.3,0.5909091,0.40850377,0.50359714,0.15384616,0.22163735,0.5,0.24450867052023123
0.18381502890173412,0.2,0.5909091,0.40796554,0.5143885,0.23076925,0.21498823,0.0,0.16878612716763006
