hour,azimuth,Altitude,Right ascension,Declination
0,350 08 28.29,-55 34 31.7,182 03 53.76,00 53 46.7
1,016 34 06.84,-54 51 40.6,182 06 10.54,00 54 45.1
2,039 10 38.69,-49 04 15.0,182 08 27.24,00 55 43.5
3,056 00 12.39,-39 58 16.7,182 10 43.75,00 56 42.0
4,068 35 16.44,-29 05 12.6,182 12 59.94,00 57 40.4
5,078 42 47.34,-17 18 00.4,182 15 15.75,00 58 38.9
6,087 38 25.43,-5 06 24.0,182 17 31.10,00 59 37.3
7,096 17 05.45,07 09 58.3,182 19 45.96,-1 00 35.8
8,105 28 03.88,19 13 37.3,182 22 00.35,-1 01 34.2
9,116 08 45.36,30 42 43.2,182 24 14.30,-1 02 32.7
10,129 37 47.98,41 02 28.0,182 26 27.87,-1 03 31.1
11,147 34 10.28,49 11 57.1,182 28 41.17,-1 04 29.5
12,170 40 57.36,53 36 45.0,182 30 54.30,-1 05 28.0
13,195 51 22.92,52 53 06.1,182 33 07.38,-1 06 26.4
14,217 40 00.41,47 16 55.4,182 35 20.55,-1 07 24.8
15,234 14 15.90,38 23 52.3,182 37 33.94,-1 08 23.2
16,246 47 48.18,27 40 19.4,182 39 47.63,-1 09 21.6
17,256 56 38.67,15 58 37.3,182 42 01.73,-1 10 20.0
18,265 52 32.55,03 48 53.4,182 44 16.30,-1 11 18.4
19,274 29 14.75,-8 29 01.6,182 46 31.36,-1 12 16.8
20,283 36 02.95,-20 37 51.7,182 48 46.91,-1 13 15.2
21,294 11 53.95,-32 16 27.4,182 51 02.91,-1 14 13.6
22,307 41 11.16,-42 50 46.1,182 53 19.29,-1 15 12.0
23,325 59 02.18,-51 18 49.5,182 55 35.96,-1 16 10.4
