hour,azimuth,Altitude,Right ascension,Declination
0,348 49 19.73,-41 59 22.6,149 30 36.62,12 24 09.7
1,008 37 07.69,-42 16 49.0,149 32 57.36,12 23 20.2
2,027 14 26.31,-38 28 59.2,149 35 18.03,12 22 30.8
3,042 55 42.75,-31 24 02.1,149 37 38.51,12 21 41.4
4,055 37 00.07,-22 04 40.5,149 39 58.68,12 20 52.0
5,066 03 17.41,-11 20 44.6,149 42 18.44,12 20 02.7
6,075 05 15.03,00 14 22.0,149 44 37.74,12 19 13.4
7,083 28 10.26,12 18 26.0,149 46 56.54,12 18 24.1
8,091 56 23.54,24 34 42.7,149 49 14.83,12 17 34.7
9,101 25 40.90,36 46 37.4,149 51 32.64,12 16 45.3
10,113 28 22.92,48 30 04.3,149 53 50.05,12 15 55.8
11,131 05 45.29,58 55 25.7,149 56 07.13,12 15 06.3
12,159 16 21.03,66 02 57.2,149 58 24.00,12 14 16.6
13,196 15 14.24,66 31 53.4,150 00 40.79,12 13 26.9
14,225 58 13.35,60 02 30.4,150 02 57.63,12 12 37.1
15,244 36 25.99,49 52 43.1,150 05 14.63,12 11 47.2
16,257 07 43.83,38 14 54.9,150 07 31.92,12 10 57.2
17,266 49 15.89,26 04 15.4,150 09 49.59,12 10 07.2
18,275 20 49.30,13 46 36.7,150 12 07.70,12 09 17.1
19,283 40 55.68,01 38 53.6,150 14 26.29,12 08 27.0
20,292 34 31.79,-10 02 34.8,150 16 45.36,12 07 36.8
21,302 46 32.94,-20 56 41.3,150 19 04.89,12 06 46.7
22,315 07 39.39,-30 31 52.4,150 21 24.80,12 05 56.6
23,330 26 19.40,-38 00 22.8,150 23 45.01,12 05 06.5
