hour,azimuth,Altitude,Right ascension,Declination
0,350 01 55.98,-54 46 47.7,180 16 03.55,00 07 03.0
1,015 58 08.80,-54 08 35.5,180 18 20.13,00 08 01.4
2,038 20 39.66,-48 29 29.9,180 20 36.64,00 08 59.8
3,055 09 07.01,-39 30 54.4,180 22 52.94,00 09 58.2
4,067 46 55.38,-28 42 50.1,180 25 08.94,00 10 56.6
5,077 57 01.45,-16 58 31.0,180 27 24.54,00 11 54.9
6,086 54 00.55,-4 48 06.7,180 29 39.69,00 12 53.3
7,095 32 35.43,07 28 31.5,180 31 54.36,00 13 51.8
8,104 42 06.00,19 33 56.1,180 34 08.54,00 14 50.2
9,115 20 21.08,31 06 32.8,180 36 22.29,00 15 48.6
10,128 47 35.90,41 31 57.2,180 38 35.65,00 16 47.0
11,146 47 50.65,49 49 12.1,180 40 48.74,00 17 45.4
12,170 12 37.70,54 21 38.3,180 43 01.66,00 18 43.8
13,195 51 57.93,53 40 58.6,180 45 14.53,00 19 42.2
14,218 01 35.45,48 02 32.4,180 47 27.48,00 20 40.6
15,234 44 20.92,39 05 36.3,180 49 40.64,00 21 39.0
16,247 20 04.02,28 18 48.0,180 51 54.12,00 22 37.4
17,257 29 05.26,16 34 59.0,180 54 07.99,00 23 35.8
18,266 24 53.86,04 24 15.1,180 56 22.33,00 24 34.2
19,275 01 47.53,-7 53 36.8,180 58 37.16,00 25 32.6
20,284 09 02.13,-20 01 19.5,181 00 52.48,00 26 31.0
21,294 44 52.82,-31 37 37.1,181 03 08.25,00 27 29.4
22,308 11 27.85,-42 08 25.4,181 05 24.40,00 28 27.8
23,326 18 18.01,-50 32 31.2,181 07 40.85,00 29 26.2
