hour,azimuth,Altitude,Right ascension,Declination
0,350 30 29.30,-58 21 03.3,188 22 59.78,-3 37 03.5
1,018 47 36.02,-57 21 08.1,188 25 17.62,-3 38 01.6
2,042 12 34.32,-51 03 34.9,188 27 35.38,-3 38 59.7
3,059 02 33.72,-41 32 01.5,188 29 52.94,-3 39 57.8
4,071 25 45.37,-30 22 20.4,188 32 10.20,-3 40 55.9
5,081 22 55.87,-18 26 03.0,188 34 27.06,-3 41 54.0
6,090 12 58.46,-6 11 13.9,188 36 43.46,-3 42 52.1
7,098 51 06.18,06 03 16.1,188 38 59.38,-3 43 50.3
8,108 06 03.01,17 59 53.7,188 41 14.83,-3 44 48.4
9,118 53 23.48,29 16 00.8,188 43 29.84,-3 45 46.5
10,132 25 38.41,39 15 43.9,188 45 44.47,-3 46 44.6
11,150 04 57.43,46 58 53.7,188 47 58.84,-3 47 42.7
12,172 09 50.44,50 58 59.7,188 50 13.04,-3 48 40.7
13,195 46 55.87,50 06 17.2,188 52 27.21,-3 49 38.7
14,216 27 09.18,44 37 57.9,188 54 41.47,-3 50 36.7
15,232 31 58.88,35 58 18.3,188 56 55.95,-3 51 34.7
16,244 56 45.60,25 26 18.6,188 59 10.76,-3 52 32.6
17,255 03 46.97,13 52 24.9,189 01 25.97,-3 53 30.5
18,263 58 53.82,01 46 41.6,189 03 41.65,-3 54 28.4
19,272 33 47.59,-10 30 52.4,189 05 57.84,-3 55 26.3
20,281 37 38.90,-22 43 10.4,189 08 14.51,-3 56 24.2
21,292 11 35.40,-34 29 33.2,189 10 31.64,-3 57 22.1
22,305 47 58.70,-45 16 19.2,189 12 49.15,-3 58 20.0
23,324 43 45.82,-53 59 10.5,189 15 06.95,-3 59 17.9
